0,0: (11,22,29)  #0B161D  srgb(11,22,29)
1,0: (39,87,48)  #275730  srgb(39,87,48)
2,0: (109,109,111)  #6D6D6F  srgb(109,109,111)
3,0: (218,51,14)  #DA330E  srgb(218,51,14)
4,0: (25,172,22)  #19AC16  srgb(25,172,22)
5,0: (5,207,3)  #05CF03  srgb(5,207,3)
6,0: (0,234,1)  #00EA01  srgb(0,234,1)
7,0: (0,255,0)  #00FF00  lime
8,0: (235,187,24)  #EBBB18  srgb(235,187,24)
9,0: (13,86,179)  #0D56B3  srgb(13,86,179)
10,0: (209,125,129)  #D17D81  srgb(209,125,129)
11,0: (44,163,221)  #2CA3DD  srgb(44,163,221)
12,0: (167,167,165)  #A7A7A5  srgb(167,167,165)
13,0: (211,213,219)  #D3D5DB  srgb(211,213,219)
14,0: (233,237,242)  #E9EDF2  srgb(233,237,242)
15,0: (255,255,255)  #FFFFFF  white
